storage_id,kitchen_id,storage_area,storage_status,separation_method,segregation_index,labeling_readiness_index,cleaning_readiness_index,open_container_count,spill_events_30d,inspection_frequency
STORE-0001,K-01,Room A,Needs Review,Separated,0.7148531046409508,0.8056723147925424,0.35185750781491953,4,0,Weekly
STORE-0002,K-02,Room B,At Risk,Mixed Shelf,0.8579337973976098,0.37652832882656484,0.36093823659868124,3,0,Twice Daily
STORE-0003,K-03,Dry Store,Needs Review,Separated,0.4201532119963952,0.36492438027452356,0.7778245261412755,1,3,Daily
STORE-0004,K-04,Cold Store,Compliant,Separated,0.8554537060409145,0.4969739868726333,0.5580805097707181,4,1,Weekly
STORE-0005,K-05,Room A,Compliant,Mixed Shelf,0.5338115324487114,0.5944586073328512,0.8814286430112075,4,1,Daily
STORE-0006,K-06,Room B,Compliant,Separated,0.45325037850513855,0.7520144980465324,0.17024300294048078,3,3,Daily
STORE-0007,K-01,Dry Store,Compliant,Separated,0.30995270686143434,0.9331251779946537,0.2011358340355861,4,0,Weekly
STORE-0008,K-02,Cold Store,Needs Review,Separated,0.32439202741388456,0.918776391186938,0.1538449069729908,2,1,Daily
STORE-0009,K-03,Room A,Needs Review,Separated,0.7780373960989391,0.21010202255562893,0.3142857306881184,2,3,Daily
STORE-0010,K-04,Room B,Needs Review,Separated,0.2871954112902606,0.3570303849319034,0.22865892692215473,5,2,Daily
STORE-0011,K-05,Dry Store,Compliant,Separated,0.9493447515242416,0.6975197481582917,0.4398550854751747,4,1,Weekly
STORE-0012,K-06,Cold Store,Compliant,Separated,0.6889496681940772,0.8288868693646274,0.8277101744372686,5,0,Twice Daily
STORE-0013,K-01,Room A,Compliant,Mixed Shelf,0.7658385172349762,0.6159831358123982,0.504566466853144,3,2,Daily
STORE-0014,K-02,Room B,Compliant,Mixed Shelf,0.6160610117529945,0.20567170116281108,0.9011793818091146,3,1,Weekly
STORE-0015,K-03,Dry Store,Needs Review,Separated,0.35598058162319274,0.8450484001705119,0.6836501999561514,4,0,Twice Daily
STORE-0016,K-04,Cold Store,Compliant,Mixed Shelf,0.9750083902695009,0.8602094345385656,0.1865098713753272,1,0,Weekly
STORE-0017,K-05,Room A,Needs Review,Unsealed,0.8277924674604262,0.6154911055769139,0.5986354541394336,2,2,Weekly
STORE-0018,K-06,Room B,Compliant,Mixed Shelf,0.6804962806683531,0.460755228166383,0.2256969272821937,3,1,Daily
STORE-0019,K-01,Dry Store,Needs Review,Mixed Shelf,0.4306016377381118,0.6982148727047202,0.8799140107399258,3,1,Daily
STORE-0020,K-02,Cold Store,Compliant,Separated,0.494919113586987,0.919446374544818,0.5780673115104458,3,2,Weekly
STORE-0021,K-03,Room A,Compliant,Separated,0.3194555553868513,0.731028776977757,0.34621528297100723,4,1,Twice Daily
STORE-0022,K-04,Room B,Needs Review,Mixed Shelf,0.7666875985893029,0.7585805389161104,0.8900653205296278,4,1,Daily
STORE-0023,K-05,Dry Store,Compliant,Separated,0.9514906901877103,0.4073170184361484,0.3615037316495619,5,0,Daily
STORE-0024,K-06,Cold Store,At Risk,Separated,0.36450517481896505,0.5454666018492549,0.7002008013366062,3,2,Daily
STORE-0025,K-01,Room A,At Risk,Separated,0.8972287227846087,0.6905235735170572,0.15978619855882661,3,2,Daily
STORE-0026,K-02,Room B,Compliant,Separated,0.5173354993506387,0.9032098526803916,0.8723405323740068,2,0,Weekly
STORE-0027,K-03,Dry Store,Needs Review,Unsealed,0.8409394792239602,0.6259729317144922,0.6407222680629698,2,3,Daily
STORE-0028,K-04,Cold Store,Compliant,Mixed Shelf,0.6793767269502557,0.21492620744263283,0.4637744316728589,2,2,Twice Daily
STORE-0029,K-05,Room A,Needs Review,Separated,0.34963439961887466,0.5975764404880985,0.5590572228642785,5,3,Weekly
STORE-0030,K-06,Room B,Compliant,Mixed Shelf,0.8347751604962883,0.8471209834377553,0.19866802403042358,5,2,Twice Daily
STORE-0031,K-01,Dry Store,Needs Review,Separated,0.9375180656512155,0.879128702503533,0.731611853487225,2,3,Twice Daily
STORE-0032,K-02,Cold Store,Compliant,Unsealed,0.36514670918841075,0.6582354740691041,0.8501800063822453,1,0,Twice Daily
STORE-0033,K-03,Room A,Compliant,Separated,0.6567896948946401,0.9564864757655192,0.8649218660588834,1,2,Weekly
STORE-0034,K-04,Room B,At Risk,Mixed Shelf,0.7300720407578146,0.34733816167231074,0.868987116602652,3,2,Twice Daily
STORE-0035,K-05,Dry Store,Needs Review,Separated,0.8919306261289736,0.20878863701397307,0.8329255962258298,1,0,Twice Daily
STORE-0036,K-06,Cold Store,Compliant,Separated,0.5926819994605934,0.3345942015213609,0.5225990762390134,5,1,Daily
STORE-0037,K-01,Room A,Needs Review,Mixed Shelf,0.5766118569240465,0.6635005514836814,0.6662032439647662,5,2,Daily
STORE-0038,K-02,Room B,Compliant,Mixed Shelf,0.28466472302762397,0.8672886734796377,0.45338810492878434,5,2,Daily
STORE-0039,K-03,Dry Store,Needs Review,Separated,0.375073303946552,0.6034114719860096,0.7727689707218133,5,2,Weekly
STORE-0040,K-04,Cold Store,Compliant,Separated,0.3806215351087717,0.5139570505978719,0.3911851947281413,2,1,Daily
STORE-0041,K-05,Room A,Compliant,Unsealed,0.6674434955534727,0.8730429342609656,0.6364147186985089,5,1,Daily
STORE-0042,K-06,Room B,Compliant,Mixed Shelf,0.4435434403156867,0.8790237151987208,0.2708335979350323,3,2,Daily
STORE-0043,K-01,Dry Store,Compliant,Unsealed,0.2852689472003394,0.9314508427903934,0.5472812986550101,2,1,Twice Daily
STORE-0044,K-02,Cold Store,At Risk,Mixed Shelf,0.5483428905293464,0.6743494215939477,0.15378099003222587,5,3,Twice Daily
STORE-0045,K-03,Room A,Needs Review,Separated,0.33106052906572186,0.2078495218851709,0.20658566731111794,1,2,Daily
STORE-0046,K-04,Room B,At Risk,Mixed Shelf,0.896896193292337,0.8093728224844778,0.6755218653030433,1,3,Weekly
STORE-0047,K-05,Dry Store,At Risk,Separated,0.49680277168026854,0.5235809202254629,0.49139961743342286,2,0,Twice Daily
